brand,text
Carnage,"I recently used the express delivery service offered by the clothing company Carnage, and unfortunately, I am extremely disappointed with the service I received. I paid extra for this service with the understanding that my package would be delivered on the same day, but my package was delayed by several days.

I would not recommend using this service if you need your package delivered on time, and I hope that the company takes steps to improve their communication and delivery processes in the future. 6 harsha desapriya 1 review"
Carnage,"It fits true to size, and the cut is flattering without being too tight."
Carnage,Worst customer service. Today I went to the store no one supporting to me especially there is girl like ice age character she is not asking what customer trying to say😏 3 Dimuthu Hewage
Carnage,"Terribly quality. Ordered 3 oversized t shirts from the same collection and all in the size, but weirdly all 3 of them fit differently. Only one of them was truly oversized. The other 2 fit like regular t shirts. Overpriced for the horrendous quality. 8 Dilan Wijesooriya"
Carnage,New This is a place where you can experience a range of sports wear specially for gym people 👍 with other related accessories Last Evan
Carnage,Best for gym outfits. The prices of the joggers are bit much. The quality of the cloths are well up to standard.
Carnage,"I recently purchased Classic Mini Tumbler from your Cranage flagship store but I noticed some iron marks on the top of the bottle, I had bought this as a gift for a friend, and I am quite disappointed with the product's quality, especially considering the price.I hope your company will address this issue and work on improving the product. 1 C Lalinshan"
Carnage,"Absolutely expensive garbage products. Wore this just 2 times and the pocket zipper came off. Honestly could've bought better quality products from Pettah for one fifth of the price or even less.

The default payment gateway on the website doesn't work. The customer care Hotline is not working. It's all a fasade!

**Updated: Managed to get it exchanged. Hopefully it lasts more than 4 hours of usage. Gayani Keshari"
Carnage,CARNAGE's customer service was fantastic! Reyhan Arooz resolved my shirt size exchange quickly and efficiently. Highly impressed! Piyumi Kumarage
Carnage,Large collection of all kind of garments. Good quality metarials 1 ʙʀᴇɴɴᴀɴ
Carnage,The design feels uninspired and lacks the flair I was expecting.
Carnage,There are little size shortages all time
Carnage,Overprice clothing items. With poor quality. Print fade away fast and thread stitching falls out quickly. I wouldn’t recommend this place to anyone. 6
Carnage,Not supportive enough for high-intensity workouts.
Carnage,"Nice place with some good clothing. A bit overpriced, but recomended. 1"
Carnage,Have mixed feelings. All their staff are out of stock or not having my size (xl and large) . Shorts are not quality as their previous generation. Feels like not worth for money like before. Parking is pain here. No security personal to guide you. Please do improvement guys. Cheers 12
Carnage,Good staff service.. high quality clothing Salman Faraj
Carnage,"This store has a vibe and it was a fun shopping experience! It feels like the people behind carnage really care. If you're comparing with Nile or Lulu Lemon quality, it's definitely at that same level. Their tech fabrics are really impressive."
Carnage,I got quality service from carnage team member Reyhan Arooz . But sometimes response is little late.Other than that there is nothing to complain. ❤️🫶 A’xo Clothing
Carnage,"I highly recommend Carnage clothing to anyone looking for high-quality, comfortable, and stylish active and lifestyle wear. Lasiru Yasas"
Carnage,"I placed an order for same-day delivery, and not only did it arrive within a few hours, but the team even followed up to make sure everything was received as requested. I’m super happy with the experience. the delivery was fast, and the product quality is top-notch!"
Carnage,The leading youth fashion brand in Srilanka and Everyone at the store was helpful. 1 Nava CM 1 review
Carnage,Superb dress shop Manoj Niroshana
Carnage,"Carnage, a standout Sri Lankan brand, has captivated me with its wide range of t-shirts and track bottoms, as well as its unique bags and water bottles. Their collection seamlessly blends style and functionality, making it a go-to choice for everyday wear and casual outings. What truly sets Carnage apart is their attention to detail and the quality of their materials, ensuring both comfort and durability.

One of the highlights of their collection is the diversity of designs available, catering to various tastes and preferences. Whether you're looking for a minimalist aesthetic or something more vibrant and eye-catching, Carnage has something to offer. Additionally, their collection for girls is equally impressive, featuring a variety of chic and trendy options that don't compromise on comfort.

The unique bags and water bottles from Carnage are not only practical but also add a touch of individuality to one's ensemble. These accessories are thoughtfully designed, making them perfect companions for both everyday use and special occasions. Overall, Carnage's commitment to quality and style makes it a brand worth exploring for anyone seeking fashionable and functional apparel and accessories."
Carnage,Best clothing experience ❤️‍🔥 W . M . Dilshan _ 1 review
Carnage,"Tbh the clothing item now really need to go through some sort of pre wash, coz I got a few t shirts for, the really bright ones in red, purple and salmon pink as a couple of gifts for my family but was really disappointed when it faded in the first wash. I did get a store credit when I returned it. Kudos for that but you guys need to put some quality checks in place. 2"
Carnage,"Clothing quality- 4/5
Collection available instore- 3/5
Customer experience + staff - 3/5

Felt like staff were minding their own business, less helpful with assistance. Chamath Rashmika"
Carnage,"Hey,
Wow, it sounds like you're absolutely thrilled with your purchase. We're delighted to hear that the shorts and pants make you feel confident and empowered. While we can't guarantee they'll give you actual superpowers, we believe that feeling good in what you wear can have a positive impact on your mindset and performance. We appreciate your kind words and wish you the best of luck with your newfound confidence. If there's anything else we can assist you with, please don't hesitate to reach out. Happy adventuring, and enjoy your superhero-like experience with us

Regards,
Team Carnage Kelly Bubz 1 review"
Carnage,"Last week, my friend placed an online order for me from Sri Lanka but accidentally entered the wrong address. We immediately contacted your support team via email and I also called them same day morning to rectify the issue. I was advised to send another email with the correct address, which I did, and requested confirmation once the change was made.

Unfortunately, I never received a confirmation, and the parcel was picked up by DHL with the incorrect address. I had to reach out to DHL directly to request the address change once again, which added unnecessary stress and complication.

While I have always respected Carnage for its quality, I believe there is room for improvement in your customer service.

I hope this feedback helps improve future interactions :) 2 Desh Perera"
Carnage,"Quality clothing for the younger generation.
Very courteous and good service."
Carnage,"I recently purchased a shirt from Carnage, and I have to say, I'm impressed. Not only does the shirt fit perfectly, but it also magically attracts compliments from strangers. I wore it to the grocery store and people were literally stopping me in the aisles to tell me how awesome my shirt was. I even got a marriage proposal from the cashier. So, if you're looking for a shirt that will make you the talk of the town, look no further than this Carnage🤩 Chamini Alwis"
Carnage,"New Carnage is cooking up something special. A true powerhouse in Sri Lankan fashion, making waves in an exclusive way. Keep serving heat, and soon, you’ll be the culture. The streets are watching. 🔥🦅❤️‍🔥🦅🔥 Kanchana Perera 1 review"
Carnage,Low quality products for high prices and bad customer service . carbage would be a matching name 1
Carnage,"Prices are too high. Had a bit of a bad experience with the individual at the cashier today.

And why charge an additional 50 bucks for a bag ? While your prices are already so high 😉. Ambisha Varatharasan"
Carnage,A perfect fit that works for both casual outings and light workouts.
Carnage,Best oversized Tshirts available
Carnage,"I recently ordered a clothing item from Carnage and had a fantastic experience with their customer service. When I received the package, I decided to return it, so I reached out via email to request an exchange. I was impressed by how smoothly the process went, especially thanks to Reyhan, who handled my case with exceptional professionalism and care. Their prompt responses and willingness to help made the entire experience hassle-free.
I’m really happy with how everything was resolved and would definitely recommend Carnage for their outstanding service! Suram Mendis"
Carnage,Good quality clothing store. 2
Carnage,"Disappointed on online store of Canage.
Today We ordered a Bag On Crnage online store ,you charged the full amount with extra charge for same day delivery. Charged the payment but not delivered yet.
Hotline number is not responding.
Bad experience for us. 6 Mohammed Fazlan"
Carnage,Great design with vibrant colors that make it a standout piece in my wardrobe.
Carnage,Mere hype.. nothing much to offer.. house of fashion next door was better 1
Carnage,New Great selection of active clothing. Proud to sport a Sri Lankan brand! X7
Carnage,It's too expensive and the qquality is not upto the price
Carnage,"Carnage Clothing delivers top-notch quality with every piece. Their products are stylish, and well-made. What stands out even more is their exceptional customer service - responsive, helpful, and always putting the customer first. Highly appreciated!! A.M.V.P.W. Abeykoon 1 review"
Carnage,Good quality men's and women's active wear. Highly recommend this place for all your active and casual wear needs. Product quality is good. Parking space is limited 2 Akalanka Ekanayake
Carnage,"i got cross body bag last week, through your website. But now shipper color got changed to copper color. I used it only one week. High price but poor quality. Bad experience with carnage. 21 Sandaru Imalka"
Carnage,"Such a great clothing store, Nice staff and recommended place."
Carnage,Lovely collection and excellent customer service and got some parking too. 1 Samitha pathiraja
Carnage,"Carnage: A Disappointing Detour
I was once a die-hard fan of Carnage. Their edgy designs and unique style resonated with me, and I proudly wore their clothes. However, my unwavering loyalty has taken a significant hit.

The quality of Carnage's products has drastically declined. What used to be durable, stylish pieces has transformed into cheaply made items that barely survive a few washes. It's disheartening to pay a premium price for clothing that falls apart so quickly.

To make matters worse, the customer service has plummeted. Gone are the days of friendly and helpful staff. Now, customers are met with indifference and a complete lack of care. Trying to exchange a faulty item or seek assistance with an order has become a frustrating ordeal.

It’s truly sad to see a once-loved brand deteriorate in such a manner. I hope Carnage takes notice of these issues and takes steps to rectify them. Until then, I'll be looking for new brands that value both their products and customers. 4"
Carnage,Awesome fashion stuffs Gaja Sarves
Carnage,"Ok styles however staff not friendly or helpfull
The waiting time to pay very long time 1 Ridha Al Ayad"
Carnage,Soft yet durable fabric makes them ideal for daily wear.
Carnage,Phenomenal service and the staff… Guyz ya vibe is awesome Yo. Keep it up. Amazing quality products and materials. Definitely recommend ya store for others and will be back soon for more clothings!!! Cheers 🤘 3 Mayura Weerasinghe
Carnage,Found some trendy tshirts
Carnage,"This t-shirt is extremely comfortable and fits perfectly, I love the quality of the fabric."
Carnage,New Excellent active wear. Great service! A 10/10 nalinda panditharatne
Carnage,"Happy to hear that you enjoy shopping with us Fam
Hope to see you soon and thanks a lot for the Review!! Salih Shahazad"
Carnage,These shorts are incredibly comfortable with a top-notch fabric that breathes well.
Carnage,"I visited the store on February 21, 2025, for the first time. While the store's aesthetic is appealing, the layout presented navigational challenges due to an unconventional and confusing arrangement of merchandise.

Unfortunately, the overall shopping experience fell short of expectations. The store lacked my required size (Large) in the desired t-shirts and (Small) in the intended shorts. Furthermore, despite observing approximately seven staff members, none offered assistance which is disappointing. Thought Carnage would do better.

Ended up buying two shorts (but not in the color I wanted) and will comment on the quality/durability after use. farhath fazni"
Carnage,"I got the 90’s flared leggings from Carnage, and what can I say about them that hasn’t been told about the wheel, sliced bread or the iphone? If you’ve ever wondered what it feels like to be the girl who is up at 5, put in two hours of workout before your matcha latte and journaling and look so sleek, cool and effortless throughout, get these. Highly recommended 1 Shanthu OG"
Carnage,Good prices and excellent service. The best Sri Lankan clothing brand for fitness. The owner is often present as well.
Carnage,"Super soft fabric with a flattering cut, I can’t get enough of it!"
Carnage,"I recently ordered a T-shirt from Carnage during their 50% off offer, with a total cost of Rs 2089. I placed the order on August 11th, and it arrived on August 15th. Unfortunately, after wearing the T-shirt only once and gently adjusting it, I noticed that both sides of the fabric began to tear. I’m quite disappointed with the quality given the high price and limited use. I hope the company addresses these issues to improve their products. 6"
Carnage,Service is ok. The items which i was looking for found anyway great place to purchase your active wear muditha gunarathna
Carnage,"Beautiful environment. Nice collection.
Very helpful and courteous staff.
Ample parking space. Mohamed Akeel"
Carnage,Good quality items. Planning to go back again. Chathuri Gunasekara
Carnage,The design is unflattering and doesn’t suit my style.
Carnage,Very good clothing 1 Joshua Pakeerathan
Carnage,I recently visited Carnage and had a great shopping experience. Staff were super cool and friendly. Shop was consisted with high quality products. This is one of the best place to buy sports wear.
Carnage,Small and compact clothing store. Heveen Perera
Carnage,"Prepare for a fashion experience that's larger than life and funnier than your uncle's dance moves at a wedding! The Carnage Desire Oversize Tee is the ultimate statement piece for those who want to rock a shirt that's more spacious than a first-class airplane seat. It's so roomy, you could fit a family of squirrels inside and still have space for a mini-fridge! Not only does it provide excellent coverage for a hot dog eating contest, but it's also perfect for hiding that extra slice of pizza you want to sneak into a movie theater. With its vibrant colors and enough fabric to make a quilt, this tee is guaranteed to turn heads and cause laughter-induced bellyaches. Don't miss out on the opportunity to wear a wearable circus tent and become the life of the party. Warning: Side effects may include excessive giggling, spontaneous dance-offs, and random offers to join the circus. Wear with caution! Dilshan Chameera 1 review"
Carnage,"I don't know what kind of magic the Carnage Staff have put into their clothes, but I swear they're indestructible! I wore a shirt from Carnage on a camping trip and not only did it survive the elements, but it also emerged unscathed from a food fight with a bunch of rowdy raccoons. I don't know if I should be impressed or scared, but either way, I'm definitely buying more clothes from this Carnage. Who knew solid clothes could be this much fun? Hats off🫡 2 chamindu nayanajith"
Carnage,What a good customer service.Highly impressed and highly recommended.And thanks a lot for the immediate response you give to the customer requests. Chandu Gunaratne
Carnage,Their prices are too high. 13000 LKR for a pair of cargo pants is outrageous. Their outlet is at a convenient spot and their staff are friendly though. 10 DK SA
Carnage,You can print logos on t-shirts or polo t-shirts for your business at Maharagama silver reed printing company. Plain t shirt can be bought from Ratmalana t shirt republic. You can make a dtf without embroidery for 1000 rupees. I will only spend 1000 rupees to print the logo on both sides of this t shirt. No MOQ. Even one will be done every day. Translated by Google·See original (Sinhala) Superb🔥
Carnage,👑 Short Clips
Carnage,"Great collection, helpful staff Riveen Manatunga"
Carnage,Good selection of sportswear. Other stuff (pants etc) are too expensive. Shiran Batuvita
Carnage,"Modern sports clothing brand, popular with teenagers. Price matches quality. By a"
Carnage,"Purchased shorts and a t shirt , not more selections , resonable prices when you compare to outside shops."
Carnage,"Good collection of wearables but the space is not enough to the crowd.

KOKO payments are available here. 1 Inujan Ravindran"
Carnage,"Sportswear shop where a wide variety of good quality items are available . Value for money. Appreciate the initiative of introduction of locally manufacured sports items, over sized t shirts etc. Staff efficient . Lage parking space available. 2 Wanosha de silva"
Carnage,New Poor customer services. Really disappointed. Ramprashath Ramanathan
Carnage,"They’re loose around the legs, making the overall look sloppy."
Carnage,Superb stuff. I ordered last evening and this evening I got my things. Top quality and value for money. The way you guys guided me regarding the size was perfect. I’m very satisfied with my purchase. Most definitely will order again. Good luck to the team. 👍 Rehan Razeen
Carnage,"I ordered a tee shaped T-shirt through ko-ko, received my order after 3 days and size didn't match. so i went to the outlet carrying the T-shirt on a plastic bag[crushed look]. i went inside the outlet with the bag itself and the guy on the cashier counter asked me what do you want. i said ""i want an exchange"" . got the correct size and the same guy asked me ""is it fine to give the t-shirt with the cover? i replied ""yeah no worries at all i got a bag"". he took a sec[maybe remembered my crushed bag] and said no no I'll get you one and got me a carnage plastic bag. trust me that wasn't marketing but basic humanity, making another look level-up is something not everyone like to do. the guy was amazing. the brand didn't impact me but the guy does. 3"
Carnage,The staff doing a great job and you can get the best quality clothes from them 🫶🏻 Vihara Weerasuriya
Carnage,"This place is the bomb for sportswear and stylish clothes for both men and women. Yeah, it's a bit pricey, but you get what you pay for - top-notch quality that's worth every penny! Buff Daddy"
Carnage,Highly recommending!😍 love that the materials are super comfortable and the unique designs and the superb customer service!❤️ Danushika Weerasinghe 1 review
Carnage,"Clothing, mainly for the younger generation. Asela perera"
Carnage,They’ve got the BEST oversized T-shirts everrr! Guardian Of The Galaxy 1 review
Crocodile,Love the Flip Flops collection Udara Somachandra
Crocodile,"I recently visited your outlet and had a mixed experience that I'd like to share. On my first visit, I was assisted by an employee named Ridma. He was extremely helpful and ensured my shopping experience was smooth. I ended up purchasing three T-shirts, three casual trousers, one office trouser, and some casual wear. I was in a hurry that day, so I couldn't get the trousers adjusted for length. The next day, I returned to the store to get the measurements done but had forgotten my invoice. Since Ridma was busy with another customer, I approached another employee, a bald gentleman. Unfortunately, his response was very negative and dismissive, which left me feeling disappointed. Can't they even bring the bill? We have been told not to accept yours. I don't even know if the ones brought from other places will be manufactured under our labels. This cannot be named. Work has increased these days. It will take days to find that bill. Customer service plays such a big role in creating a lasting impression, and I don't think this individual demonstrated the skills or attitude required for the job. Thankfully, Ritma overheard the conversation and stepped in. He immediately recognized me from the previous day, tracked my invoice with just my mobile number, and resolved the issue efficiently. His professionalism and attentiveness were outstanding. I highly recommend providing the other employees with intensive customer service training, particularly on how to handle situations with a positive attitude and a smile. First impressions matter, and his approach left a negative impact. To Ridma, well done! You are an asset to the store, and I hope your dedication is recognized and rewarded. Thank you for making my experience memorable despite the initial challenges. Harsha Jayathilaka"
Crocodile,Place is easy to find not hard. Just passed Mahanama college and it's there. Products are really good in quality. Wide variety of products are available and sizes are also available. But for the polos if you're hoping to buy light colours better to have them ordered online since most of the polos are out of stock. Same applies to the shirts as well. Better to call and confirm whether the product is available before visiting. The staff will assist you in finding different matches for your requirement. Anjalee Weerapperuma
Crocodile,"The subtle design details, like the contrast stitching, add a touch of sophistication."
Crocodile,Good collection Arsshad Arsshad Arsshad Arsshad Arsshad Arsshad Arsshad Arsshad Arsshad Arsshad Arsshad Supun Priyashan
Crocodile,They very rarely change the set of clothes they have on display. Its always the same style of clothes and designs. Dave Howson
Crocodile,"Quality outfits but the availability of the sizes and colurs is very poor. love their flip flops , soft and comfortable . Alex Macarthy review"
Crocodile,These denim jeans are a perfect blend of durability and style.
Crocodile,Crocodile branded Wearhouse with excellent collection Ahmed Nashith
Crocodile,Brand dress and all product Minfaz Mohamed
Crocodile,"A wide selection of men's clothing, accessories and footwear. Prices are a bit on the high side but you get pretty good quality. Rajiv Cg"
Crocodile,"Location - Good Store Design - Good Selection - Good but all are Slim Fit. Not everyone in Colombo are Slim. LoL Customer Service - Poor I was the only customer on a Poya Day evening. Never got greeted when I entered. May be I wasn't looking like a serious buyer in their eyes. Asked for shirts and no words spoken but only pointing of fingers to the rack. I had to do lot of talking to get them alive so they could assist. Staff need to be trained or manager (if there was one) need to be fired. They don't belong to ""Flagship Store"" Arquib Ismail"
Crocodile,"I appreciate how versatile they are, easily matching with various outfits."
Crocodile,"Staff is friendly and helpul,denim jeans are another level and good materials. Sachith Ranasinghe"
Crocodile,The colors are vibrant and remain true even after several washes.
Crocodile,Good collection! Staff is helpful. Vajira Gunarathna
Crocodile,New Great place to buy office shirts. Ravisha Weerasekara
Crocodile,Though this is flagship store now they dont have that much of variety.instead Panadura crocodile shop having good Tshirt and casual wear collection. Chathuri Gunasekara
Crocodile,Quality clothes and it warth for money. NDB % off on today and some other credit card too Nisheda Praneeth Madusinghe Shane Selvaratnam
Crocodile,Best quality and fashionable clothing. But pricy though. Gayan Pathiranage
Crocodile,It fits true to size and flatters the body without being overly tight.
Crocodile,"New I recently visited the Crocodile branch in Pelawatta, and I was extremely disappointed with the customer service. The staff member wearing glasses, a dark-skinned guy, had a terrible attitude—acting as if we were shopping for free. His behavior was unprofessional and made the entire experience unpleasant. This level of service is unacceptable for a reputed brand like Crocodile. Vishmi Perera"
Crocodile,"Ideally located, Well maintained outlet, Dress items on sale are very relevant & current. Very good designs, but prices are way too high for the quality on offer , The staff is OK. Nice place in general. Nirmana Jayatunge"
Crocodile,Good location. Variety available but common sizes could be short.. parking available Chamoth Dhasan Liyanage
Crocodile,"The staff at the Crocodile Pelawatte branch are very friendly and supportive, making the shopping experience pleasant. However, the polo collection and formal shirts and trousers selection are quite limited. It would be great to see more variety in these categories. Otherwise, a good place for quality clothing! Dilan Wijesooriya"
Crocodile,One of the best shop for office wear (crocodile brand) Amaranath Karunanayake
Crocodile,Good customer service. Need updated more collections though Nuwan Wijesinghe
Crocodile,Fabulous clothing and shoes Lasith Chandrasekara
Crocodile,"I have visited a couple of times and purchased several different types of clothing here. They have all been excellent. As for the service, I like the way the assistant just stands back till I browse products and then step in to assist when asked. So, I did not encounter any issues the others have recently posted. Will visit again. beast"
Crocodile,Prices are high but the level of quality did not meet expectations. Could not see much of a difference between fake crocs widely available outside and genuine t shirts available here. Thenuwan Jayasinghe
Crocodile,"If you are buying t-shirts without trying It will be wasting of money because their sizes are not same, imagine one day you buy L size other day you buy same size but you get small one for same size so I declined. saran raj"
Crocodile,Good collection of clothes Nadeeka Munasinghe
Crocodile,Good quality clothing. Expect the prices to be higher but value for money. Ideal for gifts Ajith Karunaratne
Crocodile,We can buy quality clothes Dhananjaya Bandara
Crocodile,"This shirt is exceptionally well-fitted and comfortable, making it a daily essential."
Crocodile,Have good collection of casual shirts and tshirts Menol Wijesooriya.
Crocodile,"Had a really good shopping experience at this outlet. The staff were very friendly and attentive, even though the store was busy. While some items were out of stock, they still offered a great collection of clothing items and accessories. mufaddal huzaifa"
Crocodile,selling damaged inner wears. harsha peiris
Crocodile,"The fabric feels premium and soft, ideal for both work and leisure."
Crocodile,Good product and good collection. It would be great if they can maintain better stocks of smaller sizes of t-shirts and jeans. Otherwise everything is good. Hasintha Damith
Crocodile,One of the best places in Colombo to buy branded clothing items for men. Staff is very helpful and friendly Dilini Ranasinghe
Crocodile,Good place to buy crocodile stuff if you're a fan Fair collection of stuff. Helpful staff. Kishan Geeganage
Crocodile,Egostic store manager and staff. Went there to utilize some gift vouchers and as soon as they saw that they started ignoring me and I was wearing flip-flops. They then served a gentleman came after me (well dressed) and let me hang in the counter for nearly minutes. Both of them serving him while make me wait. I asked for pair of shoes and they told me they don't have any stock and what displayed only can be purchased while I'm not sure if it is completely true. Basically they stereotype people comes there by their look. Not a single smile or casual talk. Just rude talks and glares. Utterly disappointed and disgusting. Sakuni Jayabahu review
Crocodile,nice range of mens wear. bit expensive. but worth the price. service should be improved a bit. CR Prodigy
Crocodile,Luxury fabrics and uncommon shirts Yasas Gamage
Crocodile,The cushioning and support make them ideal for all-day wear.
Crocodile,"Sizing was inconsistent, leading to an awkward fit."
Crocodile,The shirt feels a bit too stiff and loses comfort after prolonged wear.
Crocodile,"The design is sleek and modern, making them a versatile choice for any outfit."
Crocodile,"Good service, during card offer days I was not able to find two t shirts in the size that I wanted. To their credit I'm sure those we sold out. Akila Shavinda"
Crocodile,"The establishment boasts a wide range of top-notch merchandise, with a particularly swift turnover of fresh designs owing to its status as the country's largest crocodile emporium. From attire to accessories, customers can peruse a diverse selection, including high-quality leather shoes and belts. Although certain sizes may not be on display, patrons need only consult with the knowledgeable sales staff, who are able to swiftly procure the desired item from the inventory. The tranquil ambiance and spacious interiors further enhance the shopping experience, affording ample opportunity to peruse and select items without the encumbrance of excessive foot traffic. Azeem Ahamed Azeem Ahamed Irshad Razik"
Crocodile,Love their Polo t-shirts and casual shirts. But mediocre customer service Dimuthu Perera
Crocodile,A well-made belt that elevates any outfit effortlessly.
Crocodile,"It is a small collection but I always found what I was searching for. There are shirts, t shirts,trousers, shorts, belts, socks, ties, etc. All are crocodile branded. Ruki Note"
Crocodile,Awesome place to shop. Less crowd. Variety of choices. Staff is friendly and helpful. I buy most of my clothing from this shop. Viraj Cabral
Crocodile,New They have a limited collection and sizes available. Visit Duplication road for more collection MyTravel - Rajitha Rajapakse
Crocodile,They have quality % cotton shirts and trousers. Highly recommended. Sanka Arunz
Crocodile,"It offers an excellent balance of comfort and style, making it a wardrobe must have."
Crocodile,A timeless piece that pairs well with jeans & shorts.
Crocodile,Very good selection of men's clothing available. Small section for women's clothing as well. Good service. kalum fernando
Crocodile,This t-shirt is super soft and comfortable for everyday wear.
Crocodile,Good place to buy original crocodile shirts. But keep remember great products comes with a great price. Usman Baai
Crocodile,Very friendly and supportive staff. Sad to hear that Black crocodile shirts with collars are out of stock 😢 Yasiru Abeygunawardana
Crocodile,"No Crocodile badge, Barcode Invalid, Shirt information missing... Need Answers...!!! No Crocodile badge, Barcode Invalid, Shirt information missing... Need Answers...!!! Eranga Senarath"
Crocodile,Excellent place with great collection Channa Jayasinghe
Crocodile,Good collection of original stuff Lakdimuthu Weerasuriya
Crocodile,It is too expensive not upto the level that price
Crocodile,Used to have a better collection. Prices have gone up just like everything else. Enjoyed shopping there! Chamila Lasantha
Crocodile,"Bought a crew neck t shirt from online store after cross checking with the size chart. Unfortunately the ordered size was too small and I called and informed their helpline about the issue. The lady who answered my call was so kind and took efforts to check the availability of sizes from same design from store, and called me back. Outlet staff were also nice and accepted the return and were polite in helping me to choose the correct size. I'm really satisfied with the treatment, efficiency and great customer service given both on my visit and call. Recommended to do shopping if you are around Duplication road. These guys got some cool collection of t shirts, simple and nice. Cheers for shopping people 😊 Buddhika Jayasekara"
Crocodile,Moved from bagathale place..clothes are of very high quality and expensive too Ahmed A
Crocodile,"A lot of high quality products at reasonable prices available and they continuously offer good discounts on cards etc.. The service is also very good. They have a variety of very good office shirts that are very comfortable and everything is very organised. They have other accessories as well for men like shoes,bags, wallets and belts. Although they have a very limited set of office trousers in the duplication outlet. mufaddal huzaifa Kill Joy"
Crocodile,hey provide superb grip and stability on a variety of surfaces.
Crocodile,"Terrible customer service, First time send the wrong shoes, second time we have to pay for the goods without giving the invoice, or showing the products. How can we trust them? Unexperienced staff answering the phone Gallery Boldtouch"
Crocodile,New Average customer service. Doesn't have a big collection as well.
Crocodile,"Lightweight yet supportive, these Flip Flops have become my favorite indoor footwear."
Crocodile,"Sure the shop looks looks nice, collection seems to be good. But the quality of the clothing is appalling. No matter how much I was careful when cloths were washed, colors faded and material became rough and fibrous becoming unwearable just after three months. Not worth the money you spend. suranga fernando"
Crocodile,No much collection Bandula Wickramaarachchi
Crocodile,Great quality stuff. starts cz of the less variety and less choice. Ties Are not pleasing at all. Shirts and t shirts are reasonably available. The staff was very friendly and helpful nevertheless. Price is on the high side given it is a branded store. Recommended. Milan Tharaka Siyambalapitiya Milan Tharaka Siyambalapitiya Milan Tharaka Siyambalapitiya Milan Tharaka Siyambalapitiya Sameena Ismail
Crocodile,"Store with good collection, some were overpriced and some are reasonably priced Gayan Dissanayake"
Crocodile,The customer service is extremely awful. We were unfolding several shirts and T-shirts and they didn’t like it as it created them more work to fold the ones we didn’t want to buy. They asked us in a rude way to not to unfold! How can we buy something without properly checking? Lanil Marasinghe
Crocodile,Buy crocadile branded menswear from here. helpful and attentive staff. akeel lukman
Crocodile,Has some good quality clothing and choices but customer service is bad its almost as if its a self service pretty dissapointed Manoj Koralagamage
